# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.17.0
#@/tick	632
#@/user_id	9d0922bb-2196-4703-8ad7-5b1d1981f005
a 	啊	c=3 d=1.31215 t=632
jiu 	就	c=4 d=2.43483 t=632
jiu cuo 	纠错	c=1 d=0.965605 t=632
jiu shi 	就是	c=2 d=0.97531 t=632
ju ti 	具体	c=1 d=0.960789 t=632
kai qi 	开启	c=2 d=1.29104 t=632
kai tou 	开头	c=1 d=0.465334 t=632
kan 	看	c=2 d=1.63176 t=632
kan qi lai 	看起来	c=1 d=0.995012 t=632
kan shou ji 	看手机	c=1 d=0.748264 t=632
kong zhi duan 	控制端	c=2 d=1.56823 t=632
kua ke 	夸克	c=1 d=0.554327 t=632
kuai jie jian 	快捷键	c=1 d=0.900325 t=632
kuang 	框	c=0 d=0.0436049 t=632
lai 	来	c=3 d=2.35106 t=632
le 	了	c=13 d=6.0688 t=632
le ba 	了吧	c=1 d=0.798516 t=632
lei 	雷	c=1 d=0.97531 t=632
lei si 	类似	c=2 d=1.46686 t=632
li 	里	c=14 d=6.51521 t=632
li de 	里的	c=1 d=0.818731 t=632
liang du 	亮度	c=1 d=0.923116 t=632
lu 	路	c=1 d=0.694197 t=632
lu shang 	路上	c=1 d=0.814647 t=632
ma 	吗	c=6 d=3.02773 t=632
mai le 	买了	c=1 d=0.535261 t=632
me 	么	c=3 d=2.20548 t=632
mei 	没	c=2 d=1.06228 t=632
mei fa 	没法	c=1 d=0.891366 t=632
mei kan 	没看	c=1 d=0.579842 t=632
mei lai 	没来	c=1 d=0.955997 t=632
mei sha 	没啥	c=1 d=0.697676 t=632
mei shui 	没睡	c=1 d=0.802519 t=632
mei xiao guo 	没效果	c=1 d=0.927743 t=632
mei you 	没有	c=2 d=1.19334 t=632
ming que 	明确	c=1 d=0.786628 t=632
ming tian 	明天	c=1 d=0.733447 t=632
mo hu 	模糊	c=3 d=2.22494 t=632
mo hu yin 	模糊音	c=1 d=0.900325 t=632
mo xing 	模型	c=2 d=0.865022 t=632
mu qian 	目前	c=2 d=1.64979 t=632
na 	拿	c=1 d=0.529935 t=632
na bian 	那边	c=1 d=0.697676 t=632
na ge 	哪个	c=1 d=0.369723 t=632
na ge 	那个	c=1 d=0.625002 t=632
na xie 	哪些	c=1 d=0.814647 t=632
na xie 	那些	c=1 d=0.477114 t=632
na yang 	那样	c=1 d=0.447088 t=632
nan dao 	难道	c=1 d=0.774916 t=632
ne 	呢	c=1 d=0.960789 t=632
nei 	内	c=1 d=0.440432 t=632
neng 	能	c=5 d=2.11591 t=632
neng bu neng 	能不能	c=1 d=0.927743 t=632
ni 	你	c=5 d=3.56524 t=632
ni cao zuo 	你操作	c=1 d=0.873716 t=632
ni hao 	你好	c=1 d=0.366045 t=632
ni shi 	你是	c=1 d=0.367879 t=632
ni shuo 	你说	c=1 d=0.937067 t=632
ni zai 	你再	c=2 d=1.20809 t=632
nong 	弄	c=3 d=1.9469 t=632
nong wan 	弄完	c=1 d=0.650509 t=632
o 	哦	c=0 d=0.0839457 t=632
pai chu suo 	派出所	c=2 d=1.35822 t=632
pei 	配	c=1 d=0.722527 t=632
pei zhi 	配置	c=3 d=2.47918 t=632
pin xie 	拼写	c=2 d=1.41736 t=632
